"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1847455371394511204","Sat Oct 19 01:50:59 +0000 2024","23","Penghargaan detikcom Awards 2024 TOKOH PEMIMPIN KOLABORATIF diraih oleh Pramono Anung. Artinya kualitas kepemimpinan Mas PRAM gak perlu diragukan lagi. Jakarta kota kolaboratif butuh pemimpin sekelas Pramono Anung. #JakartaMenyala #PrakarUntukJakarta https://t.co/vvj6oRMzi5","1847455371394511204","https://pbs.twimg.com/media/GaN63QKbUAMOydS.jpg","","in","twitter.com","1","8","18","https://x.com/mulanbilqis/status/1847455371394511204","1138727688","mulanbilqis"
"1847455258815189352","Sat Oct 19 01:50:32 +0000 2024","20","Mas Pram pastikan warung Madura bisa buka 24 jam... Mas Pram selalu memberikan solusi/ide untuk mensejahterakan warga Jakarta. #PrakarUntukJakarta #JakartaMenyala https://t.co/e0Vqr1wt7j","1847455258815189352","https://pbs.twimg.com/ext_tw_video_thumb/1847453258572582916/pu/img/HzawV047gJ2bcYHh.jpg","","in","DIHATIMU","0","2","14","https://x.com/Cintada16/status/1847455258815189352","1279643013455605760","Cintada16"
"1847455246597181929","Sat Oct 19 01:50:29 +0000 2024","0","Dukungan yang mengalir dari FBR &amp; Forkabi adalah bukti nyata bahwa Pramono Anung pribadi yang aktif mendengarkan aspirasi dan keluhan warga menjadikannya pilihan yang tepat dalam Pilkada Jakarta #JakartaMenyala https://t.co/yCTHP50gI8","1847455246597181929","https://pbs.twimg.com/media/GaN6uFIbIAAqOcS.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847455246597181929","1838601635993653253","thejoyofus"
"1847454488027877786","Sat Oct 19 01:47:28 +0000 2024","0","Dengan dukungan dari dua ormas besar Pramono Anung diharapkan dapat menjadi jembatan antara generasi tua dan muda masyarakat Betawi. Ia memiliki visi yang menggabungkan nilai-nilai tradisi dengan kebutuhan modernisasi sehingga budaya Betawi tetap terjaga #JakartaMenyala https://t.co/YBjo8qNr7j","1847454488027877786","https://pbs.twimg.com/media/GaN6C5PboAAI84y.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847454488027877786","1838601635993653253","thejoyofus"
"1847453885545533895","Sat Oct 19 01:45:05 +0000 2024","11","Sebut Blusukan Jadi Kebiasaan Pramono: Kalau Enggak Keliling Jakarta Saya Malah Stres. #JakartaMenyala #PrakarUntukJakarta https://t.co/cUL2VnUFie","1847453885545533895","https://pbs.twimg.com/ext_tw_video_thumb/1847453786274766848/pu/img/dIVOAcsF2Inm_ynf.jpg","","in","lokalisasi kelas teri","0","0","9","https://x.com/triwul82/status/1847453885545533895","2695463725","triwul82"
"1847453693979037889","Sat Oct 19 01:44:19 +0000 2024","5","Keinginan Pramono menambah SLB di Jakarta Utara berawal dari keluhan warga bernama Upi Apriyani yang merupakan pemilik Rumah Quran Disabilitas Jakarta Utara. #pramdoelmenang #jakartamenyala #pramdoelmenyala #pramdoel #jakartam3nyala #prakaruntukjakarta https://t.co/TkcnVXUYtF","1847453693979037889","https://pbs.twimg.com/media/GaN5VmsbUAAY15s.jpg","","in","","0","0","4","https://x.com/Ganjarfor_ri/status/1847453693979037889","1691672652929445888","Ganjarfor_ri"
"1847451992752607464","Sat Oct 19 01:37:33 +0000 2024","22","Pramono Anung Janji Tinjau Ulang Retribusi pedagang Pasar Munjul . . . . #JakartaMenyala #PrakarUntukJakarta https://t.co/gm90BddL0J","1847451992752607464","https://pbs.twimg.com/ext_tw_video_thumb/1847451965388967936/pu/img/J2x4xwMD0QRtSmGZ.jpg","","in","","1","4","21","https://x.com/B3doel___/status/1847451992752607464","1351138416088510467","B3doel___"
"1847451952403333257","Sat Oct 19 01:37:24 +0000 2024","3","@pramonoanung meraih penghargaan detikcom award 2024 sebagai TOKOH TOKOH PEMIMPIN KOLABORATIF nominasi ini menyoroti kemampuan pramono anung dalam membangun kerjasama lintas sektor baik dengan eksekutif legeslatif maupun dengan tokoh² politik lain nya #JakartaMenyala https://t.co/4xdonNdeLr","1847451952403333257","https://pbs.twimg.com/media/GaN3wX_bUAAznqq.jpg","pramonoanung","in","","0","0","3","https://x.com/breakingNEW_upd/status/1847451952403333257","1463720993176784901","breakingNEW_upd"
"1847449721813811364","Sat Oct 19 01:28:32 +0000 2024","0","Dukungan dari Forkabi &amp; FBR menegaskan bahwa Pramono Anung adalah harapan baru bagi masyarakat Betawi. Keberanian dan komitmennya untuk memperjuangkan hak-hak masyarakat menjadikannya calon pemimpin yang layak diperhitungkan dalam Pilkada Jakarta #JakartaMenyala https://t.co/Njhgxa8VXx","1847449721813811364","https://pbs.twimg.com/media/GaN1mPfbUAAE0oD.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847449721813811364","1838601635993653253","thejoyofus"
"1847449140441313716","Sat Oct 19 01:26:13 +0000 2024","2","Mas @pramonoanung Meraih https://t.co/rJaBDi2agh AWARD 2024 Sebagai Tokoh Pemimpin Kolaboratif Didalam Dunia Polituk Mas PRAM Dikenal Sebagai Sosok yg Mampu Membangun Sinergitas Ke Berbagai Pihak Utk Mencapai Tujuan Bersama. #JakartaMenyala Bersama PRAKAR 2024 - 2029 https://t.co/M7UEVCP2xR","1847449140441313716","https://pbs.twimg.com/ext_tw_video_thumb/1847449109399293953/pu/img/0YoRfsnZVXnw5B6Y.jpg","","in","Solo (Bekasi Timur), Indonesia","0","1","2","https://x.com/SETYAKI22965702/status/1847449140441313716","1322361095407902721","SETYAKI22965702"
